

 107                   : lake code
Cheewhat Lk         processed by RT on Nov. 20'89.
890920                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
clr,nownd,mnup@23011/2full,at12.5,st18.5@2320
Sx were 84-0+,.05-1+,.01-2+.                                                                                  

depth / transect / targets / %sockeye / %stickleback

 5-10   1     19  1.00  0.00
 5-10   2     14  1.00  0.00
 5-10   3     24  1.00  0.00
 5-10   4     19  1.00  0.00
 5-10   5     10  1.00  0.00
 5-10   6     10  1.00  0.00
10-15   1     61  0.98  0.02
10-15   2    381  0.98  0.02
10-15   3    353  0.98  0.02
10-15   4    485  0.98  0.02
10-15   5    502  0.98  0.02
10-15   6    289  0.98  0.02
15-20   1     85  1.00  0.00
15-20   2    460  1.00  0.00
15-20   3    724  1.00  0.00
15-20   4   1540  1.00  0.00
15-20   5    128  1.00  0.00
15-20   6     83  1.00  0.00
20-30   1     31  1.00  0.00
20-30   2     29  1.00  0.00
20-30   3    172  1.00  0.00
20-30   4    139  1.00  0.00
20-30   5     26  1.00  0.00
20-30   6     18  1.00  0.00
30-40   1      7  1.00  0.00
30-40   2     10  1.00  0.00
30-40   3     24  1.00  0.00
30-40   4     30  1.00  0.00
30-40   5      9  1.00  0.00
30-40   6      5  1.00  0.00
40-50   1      7  1.00  0.00
40-50   2     12  1.00  0.00
40-50   3     17  1.00  0.00
40-50   4      5  1.00  0.00
