

   1                   : lake code
GCL                 Rankin - Hanslit Survey (HS testing)
001129                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain

30Nov00/8Jan01/BH/EY500/0/0/0/10/233/80. Adjusted for size selectivity.

depth / transect / targets / %sockeye / %stickleback

10-15   6    125  0.96  0.04
10-15   7     45  0.96  0.04
10-15   8      0  0.00  0.00
10-15   9      0  0.00  0.00
10-15  10      0  0.00  0.00
10-15  11      0  0.00  0.00
10-15  12      0  0.00  0.00
10-15  13      0  0.00  0.00
10-15  14     58  0.96  0.04
10-15  15      0  0.00  0.00
10-15  16      0  0.00  0.00
10-15  17      0  0.00  0.00
10-15  18      0  0.00  0.00
15-20   1     26  0.96  0.04
15-20   2     41  0.96  0.04
15-20   3     80  0.96  0.04
15-20   4    125  0.96  0.04
15-20   5    219  0.96  0.04
15-20   6    176  0.96  0.04
15-20   7     32  0.96  0.04
15-20   8      0  0.00  0.00
15-20   9      0  0.00  0.00
15-20  10      0  0.00  0.00
15-20  11      0  0.00  0.00
15-20  12      0  0.00  0.00
15-20  13      0  0.00  0.00
15-20  14     54  0.96  0.04
15-20  15      0  0.00  0.00
15-20  16      0  0.00  0.00
15-20  17      0  0.00  0.00
15-20  18      0  0.00  0.00
20-30   1     28  0.96  0.04
20-30   2     77  0.96  0.04
20-30   3    140  0.96  0.04
20-30   4    121  0.96  0.04
20-30   5     90  0.96  0.04
20-30   6    105  0.96  0.04
20-30   7    114  0.96  0.04
20-30   8      0  0.00  0.00
20-30   9      0  0.00  0.00
20-30  10      0  0.00  0.00
20-30  11      0  0.00  0.00
20-30  12      0  0.00  0.00
