"Lake name","Lake code","Depth min m","Depth max m","Area ha","Transect","Transect length m","Lake latitude","Lake longitude"
"Bonilla Lake",31,5,10,186,2,649,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,5,10,186,3,648,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,5,10,186,4,206,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,10,15,167,1,233,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,10,15,167,2,643,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,10,15,167,3,613,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,10,15,167,4,183,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,15,20,149,1,215,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,15,20,149,2,564,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,15,20,149,3,590,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,15,20,149,4,154,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,20,30,127,1,190,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,20,30,127,2,547,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,20,30,127,3,551,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,20,30,127,4,86,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,30,40,102,1,164,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,30,40,102,2,456,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,30,40,102,3,484,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,30,40,102,4,0,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,40,50,78,1,153,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,40,50,78,2,364,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,40,50,78,3,403,"53 deg 31 min","130 deg 15 min"
"Bonilla Lake",31,40,50,78,4,0,"53 deg 31 min","130 deg 15 min"
"Bonney Lake",220,2,5,340,1,300,NA,NA
"Bonney Lake",220,2,5,340,2,409,NA,NA
"Bonney Lake",220,2,5,340,3,440,NA,NA
"Bonney Lake",220,2,5,340,4,610,NA,NA
"Bonney Lake",220,2,5,340,5,410,NA,NA
"Bonney Lake",220,2,5,340,6,794,NA,NA
"Bonney Lake",220,2,5,340,7,758,NA,NA
"Bonney Lake",220,2,5,340,8,859,NA,NA
"Bonney Lake",220,2,5,340,9,763,NA,NA
"Bonney Lake",220,3,5,0,1,0,NA,NA
"Bonney Lake",220,3,5,0,2,0,NA,NA
"Bonney Lake",220,3,5,0,3,0,NA,NA
"Bonney Lake",220,3,5,0,4,0,NA,NA
"Bonney Lake",220,3,5,0,5,0,NA,NA
"Bonney Lake",220,3,5,0,6,0,NA,NA
"Bonney Lake",220,3,5,0,7,0,NA,NA
"Bonney Lake",220,3,5,0,8,0,NA,NA
"Bonney Lake",220,3,5,0,9,0,NA,NA
"Bonney Lake",220,5,10,282,1,255,NA,NA
"Bonney Lake",220,5,10,282,2,378,NA,NA
"Bonney Lake",220,5,10,282,3,420,NA,NA
"Bonney Lake",220,5,10,282,4,518,NA,NA
"Bonney Lake",220,5,10,282,5,290,NA,NA
"Bonney Lake",220,5,10,282,6,760,NA,NA
"Bonney Lake",220,5,10,282,7,741,NA,NA
"Bonney Lake",220,5,10,282,8,807,NA,NA
"Bonney Lake",220,5,10,282,9,734,NA,NA
"Bonney Lake",220,10,15,217,1,217,NA,NA
"Bonney Lake",220,10,15,217,2,335,NA,NA
"Bonney Lake",220,10,15,217,3,370,NA,NA
"Bonney Lake",220,10,15,217,4,424,NA,NA
"Bonney Lake",220,10,15,217,5,147,NA,NA
"Bonney Lake",220,10,15,217,6,703,NA,NA
"Bonney Lake",220,10,15,217,7,696,NA,NA
"Bonney Lake",220,10,15,217,8,738,NA,NA
"Bonney Lake",220,10,15,217,9,715,NA,NA
"Bonney Lake",220,15,20,173,1,183,NA,NA
"Bonney Lake",220,15,20,173,2,299,NA,NA
"Bonney Lake",220,15,20,173,3,345,NA,NA
"Bonney Lake",220,15,20,173,4,360,NA,NA
"Bonney Lake",220,15,20,173,5,30,NA,NA
"Bonney Lake",220,15,20,173,6,632,NA,NA
"Bonney Lake",220,15,20,173,7,659,NA,NA
"Bonney Lake",220,15,20,173,8,692,NA,NA
"Bonney Lake",220,15,20,173,9,643,NA,NA
"Bonney Lake",220,20,30,129,1,132,NA,NA
"Bonney Lake",220,20,30,129,2,233,NA,NA
"Bonney Lake",220,20,30,129,3,106,NA,NA
"Bonney Lake",220,20,30,129,4,286,NA,NA
"Bonney Lake",220,20,30,129,5,0,NA,NA
"Bonney Lake",220,20,30,129,6,423,NA,NA
"Bonney Lake",220,20,30,129,7,606,NA,NA
"Bonney Lake",220,20,30,129,8,639,NA,NA
"Bonney Lake",220,20,30,129,9,538,NA,NA
"Bonney Lake",220,30,40,88,1,58,NA,NA
"Bonney Lake",220,30,40,88,2,96,NA,NA
"Bonney Lake",220,30,40,88,3,14,NA,NA
"Bonney Lake",220,30,40,88,4,117,NA,NA
"Bonney Lake",220,30,40,88,5,0,NA,NA
"Bonney Lake",220,30,40,88,6,165,NA,NA
"Bonney Lake",220,30,40,88,7,542,NA,NA
"Bonney Lake",220,30,40,88,8,506,NA,NA
"Bonney Lake",220,30,40,88,9,418,NA,NA
"Bonney Lake",220,40,50,60,1,0,NA,NA
"Bonney Lake",220,40,50,60,2,0,NA,NA
"Bonney Lake",220,40,50,60,3,0,NA,NA
"Bonney Lake",220,40,50,60,4,0,NA,NA
"Bonney Lake",220,40,50,60,5,0,NA,NA
"Bonney Lake",220,40,50,60,6,16,NA,NA
"Bonney Lake",220,40,50,60,7,423,NA,NA
"Bonney Lake",220,40,50,60,8,446,NA,NA
"Bonney Lake",220,40,50,60,9,344,NA,NA
"Bonney Lake",220,50,60,40,1,0,NA,NA
"Bonney Lake",220,50,60,40,2,0,NA,NA
"Bonney Lake",220,50,60,40,3,0,NA,NA
"Bonney Lake",220,50,60,40,4,0,NA,NA
"Bonney Lake",220,50,60,40,5,0,NA,NA
"Bonney Lake",220,50,60,40,6,0,NA,NA
"Bonney Lake",220,50,60,40,7,344,NA,NA
"Bonney Lake",220,50,60,40,8,350,NA,NA
"Bonney Lake",220,50,60,40,9,233,NA,NA
"Bowron Lake",87,NA,NA,NA,NA,NA,"53 deg 14 min","121 deg 22 min"
"Bowser Lake",35,2,5,3206,1,1499,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,2,5,3206,2,1248,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,2,5,3206,3,1802,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,2,5,3206,4,1115,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,2,5,3206,5,1645,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,2,5,3206,6,1201,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,3,5,3081,1,1499,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,3,5,3081,2,1248,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,3,5,3081,3,1802,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,3,5,3081,4,1115,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,3,5,3081,5,1627,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,3,5,3081,6,1065,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,5,10,2763,1,1472,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,5,10,2763,2,1208,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,5,10,2763,3,1802,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,5,10,2763,4,1100,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,5,10,2763,5,1522,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,5,10,2763,6,868,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,10,15,2617,1,1445,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,10,15,2617,2,1171,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,10,15,2617,3,1748,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,10,15,2617,4,1062,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,10,15,2617,5,1445,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,10,15,2617,6,830,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,15,20,2470,1,1417,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,15,20,2470,2,1149,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,15,20,2470,3,1711,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,15,20,2470,4,1031,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,15,20,2470,5,1390,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,15,20,2470,6,788,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,20,30,2288,1,1381,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,20,30,2288,2,1104,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,20,30,2288,3,1690,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,20,30,2288,4,993,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,20,30,2288,5,969,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,20,30,2288,6,690,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,30,40,2044,1,1344,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,30,40,2044,2,1093,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,30,40,2044,3,1649,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,30,40,2044,4,952,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,30,40,2044,5,765,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,30,40,2044,6,0,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,40,50,1893,1,1292,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,40,50,1893,2,1055,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,40,50,1893,3,1623,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,40,50,1893,4,921,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,40,50,1893,5,716,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,40,50,1893,6,0,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,50,60,1690,1,1249,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,50,60,1690,2,1008,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,50,60,1690,3,1593,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,50,60,1690,4,861,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,50,60,1690,5,454,"56 deg 25 min","129 deg 30 min"
"Bowser Lake",35,50,60,1690,6,0,"56 deg 25 min","129 deg 30 min"
"Brannen Lake",161,2,5,89,1,832,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,2,5,89,2,843,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,2,5,89,3,686,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,2,5,89,4,1135,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,2,5,89,5,1290,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,2,5,89,6,1156,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,3,5,89,1,832,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,3,5,89,2,843,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,3,5,89,3,686,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,3,5,89,4,1135,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,3,5,89,5,1290,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,3,5,89,6,1156,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,5,10,64,1,695,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,5,10,64,2,684,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,5,10,64,3,385,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,5,10,64,4,964,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,5,10,64,5,1173,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,5,10,64,6,1034,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,10,15,45,1,551,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,10,15,45,2,553,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,10,15,45,3,190,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,10,15,45,4,538,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,10,15,45,5,990,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,10,15,45,6,660,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,15,20,19,1,0,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,15,20,19,2,309,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,15,20,19,3,0,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,15,20,19,4,0,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,15,20,19,5,0,"49 deg 13 min","124 deg 03 min"
"Brannen Lake",161,15,20,19,6,267,"49 deg 13 min","124 deg 03 min"
"Burrough Pt.",207,NA,NA,NA,NA,NA,NA,NA
"Butedale Lake",178,NA,NA,NA,NA,NA,"53 deg 08 min","128 deg 44 min"
"Campbell Lake",36,NA,NA,NA,NA,NA,"49 deg 55 min","125 deg 40 min"
