

 107                   : lake code
 5-10   1      7  1.00  0.00
 5-10   2      4  1.00  0.00
 5-10   3     26  1.00  0.00
 5-10   4     32  1.00  0.00
 5-10   5     41  1.00  0.00
 5-10   6     20  1.00  0.00
10-15   1      5  1.00  0.00
10-15   2     34  1.00  0.00
10-15   3     21  1.00  0.00
10-15   4     35  1.00  0.00
10-15   5     76  1.00  0.00
10-15   6     37  1.00  0.00
15-20   1     12  1.00  0.00
15-20   2     26  1.00  0.00
15-20   3     39  1.00  0.00
15-20   4     40  1.00  0.00
15-20   5     93  1.00  0.00
15-20   6     68  1.00  0.00
20-30   1     26  1.00  0.00
20-30   2    115  1.00  0.00
20-30   3     61  1.00  0.00
20-30   4    105  1.00  0.00
20-30   5    198  1.00  0.00
20-30   6    196  1.00  0.00
30-40   1     17  1.00  0.00
30-40   2    181  1.00  0.00
30-40   3    130  1.00  0.00
30-40   4    208  1.00  0.00
30-40   5    271  1.00  0.00
30-40   6    278  1.00  0.00
40-50   1     27  1.00  0.00
40-50   2    231  1.00  0.00
40-50   3    132  1.00  0.00
40-50   4    200  1.00  0.00
40-50   5    390  1.00  0.00
40-50   6    318  1.00  0.00
50-60   1     27  1.00  0.00
50-60   2    246  1.00  0.00
50-60   3    150  1.00  0.00
50-60   4    211  1.00  0.00
50-60   5    401  1.00  0.00
50-60   6    267  1.00  0.00
60-70   1      8  1.00  0.00
60-70   2    102  1.00  0.00
60-70   3     59  1.00  0.00
60-70   4     90  1.00  0.00
60-70   5    182  1.00  0.00
60-70   6    178  1.00  0.00
70-80   1      0  1.00  0.00
70-80   2      6  1.00  0.00
70-80   3      6  1.00  0.00
70-80   4     10  1.00  0.00
70-80   5     35  1.00  0.00
70-80   6     32  1.00  0.00
80-90   1      0  1.00  0.00
80-90   2      0  1.00  0.00
80-90   3      0  1.00  0.00
80-90   4      0  1.00  0.00
80-90   5      0  1.00  0.00
80-90   6      0  1.00  0.00
90-100  1      0  1.00  0.00
90-100  2      0  1.00  0.00
90-100  3      0  1.00  0.00
90-100  4      0  1.00  0.00
90-100  5      0  1.00  0.00
90-100  6      0  1.00  0.00


   3                   : lake code
