source_file,lake,lake_code,survey_date,sounder_type,sounder_gain,acoustic_survey_notes
TARGET07.DAT,"Skaha_2007          processed by S. Chalmers, 25Jul2007.",255,2007-07-17,SIMRAD               2,10,"cloudy, light scattered showers target overlap Tr# 8, 9."
TARGET07.DAT,"Skaha_2007          processed by SC, 13Jun2008",255,2008-03-11,SIMRAD               2,10,NA
TARGET07.DAT,"Vernon Lk           processed by RF, 27Feb2008",23,2007-10-21,SIMRAD               2,10,EYM #20101
TARGET07.DAT,"Vernon Lk           processed by RF, 27Feb2008.",23,2007-08-19,SIMRAD               2,10,EYM# 20101
TARGET07.DAT,"Vernon Lk           processed by pr, 29Feb2008",23,2007-12-12,SIMRAD               2,10,EYM #20101
TARGET07.DAT,"Woss Lk             processed by RF, 27Feb2008.",22,2007-08-21,SIMRAD               2,10,EYM #20101
TARGET07.DAT,"Woss Lk             processed by pr, 01Mar2008",22,2007-06-23,SIMRAD               2,10,EYM #20101
TARGET07.DAT,"Woss Lk             processed by pr, 01Mar2008",22,2007-12-11,SIMRAD               2,10,EYM #20101
TARGET07.DAT,"Woss Lk             processed by pr, 02Mar2008",22,2008-01-31,SIMRAD               2,10,EYM #20101
TARGET77.DAT,GCL                      20-21 1977 NIGHT SURVEY,1,1977-09-20,FURUNO FM 22         1,10,1-5 M. NOT COUNTED
TARGET77.DAT,GCL                      NOVEMBER 7 1977 NIGHT SURVEY,1,1977-11-07,FURUNO FM 22         1,10,NA
TARGET77.DAT,"HENDERSON                13-14, 1978",3,1978-03-13,FURUNO FM 22         1,10,NO TRAWLS DONE. #OF SOCKEYE=#OF FISH
TARGET77.DAT,HENDERSON                1977,3,1977-10-04,FURUNO FM 22         1,10,NO TRAWLS DONE. #OF SOCKEYE=#OF FISH
TARGET77.DAT,HOBITON,6,1978-03-14,FURUNO FM 22         1,10,NO TRAWL DATA
TARGET77.DAT,HOBITON             NIGHT SURVEY,6,1977-10-05,FURUNO FM 22         1,10,TRANSECT #5 NOT SOUNDED
TARGET77.DAT,KCA,40,1977-09-21,FURUNO FG 21         1,9,OLD TRANSECTS
TARGET77.DAT,KCA,40,1978-02-07,FURUNO FM 22         1,10,OLD TRANSECTS. TR#15 & 16 NOT SOUNDED
TARGET77.DAT,KCA                 NIGHT SURVEY,40,1977-10-26,FURUNO FM 22         1,10,OLD TRANSECTS
TARGET77.DAT,KMA,41,1977-09-20,FURUNO FM 22         1,10,OLD TRANSECTS
TARGET77.DAT,KMA,41,1978-02-08,FURUNO FM 22         1,10,OLD TRANSECTS.
TARGET77.DAT,Long Lk (A),801,1978-02-15,FURUNO               1,10,NO FISH ABOVE 15M. 1-15M. NOT SOUNDED
TARGET77.DAT,Long Lk (B),802,1978-02-16,FURUNO               1,10,NO FISH ABOVE 15M. 1-15M. NOT SOUNDED
TARGET78.DAT,ALISTAIR,12,1978-07-10,FURUNO FM 22         1,10,NA
TARGET78.DAT,FRED WRIGHT,11,1978-10-05,FURUNO FM 22         1,10,NA
TARGET78.DAT,GCL,1,1978-09-06,FURUNO FM 22         1,10,NO TRAWLS DONE. TRANSECT #6 NOT SOUNDED
TARGET78.DAT,GCL                      DECEMBER 5-6 1978 NIGHT SURVEY,1,1978-12-05,FURUNO FM 22         1,10,NA
TARGET78.DAT,GCL                      JULY 31 1978 NIGHT SURVEY,1,1978-07-31,FURUNO FM 22         1,10,NA
TARGET78.DAT,GCL                      OCTOBER 17 1978 NIGHT SURVEY,1,1978-10-17,FURUNO FM 22         1,10,NA
TARGET78.DAT,HENDERSON           NIGHT SURVEY,3,1979-03-13,FURUNO FM 22         1,10,CLEAR FULL MOON
TARGET78.DAT,HOBITON             NIGHT SURVEY,6,1979-03-14,FURUNO FM 22         1,10,NA
TARGET78.DAT,KCA,40,1978-08-15,FURUNO FM 22         1,10,OLD TRANSECTS. TR #13 & 16 NOT SOUNDED.
TARGET78.DAT,KCA,40,1978-11-15,FURUNO FG 200        1,10,OLD  TRANSECTS.
TARGET78.DAT,KITLOPE             NIGHT SURVEY,17,1978-06-29,FURUNO FM 22         1,10,ESTIMATE BASED ON THREE TRANSECTS.
TARGET78.DAT,KITLOPE             NIGHT SURVEY,17,1978-09-15,FURUNO FM 22         1,10,INTERMITTENT RAIN
TARGET78.DAT,KMA,41,1978-08-14,FURUNO FM 22         1,10,OLD TRANSECTS.
TARGET78.DAT,KMA,41,1978-11-16,FURUNO FM 22         1,10,OLD TRANSECTS. NO TRAWL DATA. TR #14 NOT SOUNDED.
TARGET78.DAT,LOWE                DAY SURVEY,20,1978-09-20,FURUNO FM 22         1,10,DAY SURVEY NO TRAWL DATA.
TARGET78.DAT,Long Lk (A),801,1979-03-21,FURUNO               1,10,NA
TARGET78.DAT,Long Lk (B),802,1979-03-22,FURUNO               1,10,NA
TARGET78.DAT,Long Lk (B)               NIGHT SURVEY,802,1978-08-23,FURUNO FM 22         1,10,ALONG NOT SOUNDED TR#1-5.
TARGET78.DAT,NIMPKISH,21,1978-11-29,FURUNO FM 22         1,10,TR #8 NOT SOUNDED.
TARGET78.DAT,Schoen Lk           processed by PR,24,1978-11-20,FURUNO FM 22         1,10,no trawling
TARGET78.DAT,Vernon Lk           processed by pr,23,1978-11-21,FURUNO FM 22         1,10,Trawl catch 100% sockeye
TARGET78.DAT,Woss Lk             processed by KS,22,1978-11-22,FURUNO FM 22         1,10,NA
TARGET79.DAT,AWUN                     NIGHT SURVEY,27,1979-07-31,FURUNO FM 22         1,10,NA
TARGET79.DAT,BONILLA                  79 NIGHT SURVEY,31,1979-10-04,FURUNO FM 22         1,10,NA
TARGET79.DAT,CURTIS                   1979 NIGHT SURVEY.,28,1979-10-14,FURUNO FM 22         1,10,NA
TARGET79.DAT,DEVON                    1979,29,1979-10-08,FURUNO FM 22         1,10,NA
TARGET79.DAT,EDEN                     79 NIGHT SURVEY,25,1979-08-04,FURUNO FM 22         1,10,7/8 CLOUD COVER MOON RISING
TARGET79.DAT,GCL,1,1979-12-19,FURUNO FM 22         1,10,NA
TARGET79.DAT,GCL,1,1979-12-20,FURUNO FM 22         1,10,Ratios adjusted for size selectivity.
TARGET79.DAT,GCL                      JULY 18 1979 NIGHT SURVEY,1,1979-07-18,FURUNO FM 22         1,10,TR #1 & 6 NOT COUNTED TARGETS NOT CLEAR
TARGET79.DAT,HOBITON,6,1980-03-10,FURUNO FM 22         1,10,NO TRAWL DATA
TARGET79.DAT,IAN                      NIGHT SURVEY.,26,1979-07-27,FURUNO FE 501        2,9,8/8 OVERCAST SHOWERS LIGHT CHOP
TARGET79.DAT,KCA,40,1980-01-23,FURUNO FM 22         1,10,TR #7 NOT SOUNDED.
TARGET79.DAT,KITLOPE             NIGHT SURVEY,17,1979-10-18,FURUNO FM 22         1,10,NA
TARGET79.DAT,KMA,41,1980-01-22,FURUNO FM 22         1,10,TRANSECT #7 NOT SOUNDED
TARGET79.DAT,LOWE                      NIGHT SURVEY,20,1979-07-22,FURUNO FE 501        1,9,NA
TARGET79.DAT,LOWE                     1979 NIGHT SURVEY,20,1979-10-13,FURUNO FM 22         1,10,NA
TARGET79.DAT,Long Lk (A),801,1979-08-27,FURUNO FM22          1,10,NA
TARGET79.DAT,Long Lk (B),802,1979-08-28,FURUNO FM22          1,10,NA
TARGET79.DAT,NIMPKISH                 1979 NIGHT SURVEY,21,1979-11-06,FURUNO FM 22         1,10,NA
TARGET79.DAT,SPROAT,2,1980-02-26,FURUNO FM 22         1,10,NO TRAWL DATA
TARGET79.DAT,WOSS                     1979  NIGHT SURVEY,22,1979-11-08,FURUNO FM 22         1,10,NA
TARGET80.DAT,AWUN,27,1980-07-30,FURUNO FM 22         1,10,NA
TARGET80.DAT,BONILLA                  1980,31,1980-09-17,FURUNO FM 22         1,10,NA
TARGET80.DAT,CURTIS,28,1980-09-21,FURUNO FM 22         1,10,NA
TARGET80.DAT,DEVON,29,1980-09-20,FURUNO   FM 22       2,10,NA
