"lake","lake_code","ats_year","target_survey_code","target_survey_type","survey_date","survey_year","survey_month","transect","depth_code","depth_min","depth_max","targets","prop_sockeye","prop_stickleback","total_prop","transect_length","area","sounder_code","sounder_type","sounder_gain","data_issues","survey_comments","acoustic_survey_notes","key_field_replicate","source_file","line_number","sourcefile_year","source_year_err"
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,2,3,5,0,NA,NA,NA,710,340,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",858,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,2,3,5,0,NA,NA,NA,710,340,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5156,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,3,5,10,23,1,0,1,700,334,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",869,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,3,5,10,20,1,0,1,700,334,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5167,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,4,10,15,329,1,0,1,690,320,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",880,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,4,10,15,268,1,0,1,690,320,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5178,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,5,15,20,196,1,0,1,660,285,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",891,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,5,15,20,205,1,0,1,660,285,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5189,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,6,20,30,46,1,0,1,630,252,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",902,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,6,20,30,51,1,0,1,630,252,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5200,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,7,30,40,0,NA,NA,NA,590,215,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",913,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,7,30,40,0,NA,NA,NA,590,215,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5211,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,8,40,50,0,NA,NA,NA,550,172,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",924,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,8,40,50,0,NA,NA,NA,550,172,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5222,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,4,9,50,60,0,NA,NA,NA,510,25,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",935,1989,FALSE
