"Lake","ATS Year","Date","Sounder Type","#Transects","#Targets","#Trawls","Surface Trawls","Trawl Time (min)","#Fish","#Sockeye","#Stickleback","Others"
"Great Central Lake","1980",1980-08-28,NA,NA,NA,2,0,15,56,40,16,0
"Great Central Lake","1980",1980-09-23,NA,NA,NA,1,0,15,21,21,0,0
"Great Central Lake","1980",1980-09-24,NA,NA,NA,1,0,10,77,77,0,0
"Great Central Lake","1980",1980-11-27,"FURUNO FM 22         ",6,3533,3,0,50,303,303,0,0
"Great Central Lake","1981",1981-07-29,"FURUNO FM 22         ",6,1947,1,0,10,202,202,0,0
"Great Central Lake","1981",1981-07-30,NA,NA,NA,1,1,10,1,0,0,1
"Great Central Lake","1981",1981-09-14,"FURUNO FM 22         ",6,6076,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1981",1981-09-15,NA,NA,NA,2,0,25,105,105,0,0
"Great Central Lake","1981",1981-09-16,NA,NA,NA,1,0,20,44,44,0,0
"Great Central Lake","1981",1981-09-28,NA,NA,NA,4,0,60,701,701,0,0
"Great Central Lake","1981",1981-12-09,NA,NA,NA,3,0,55,189,189,0,0
"Great Central Lake","1981",1981-12-12,"FURUNO FM 22         ",6,7587,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1981",1982-02-02,"FURUNO FM 22         ",6,11727,3,0,61,324,324,0,0
"Great Central Lake","1982",1982-08-09,"FURUNO FM 22         ",6,7985,2,0,21,678,677,1,0
"Great Central Lake","1982",1982-11-11,"FURUNO FM 22         ",6,11128,4,0,65,111,106,5,0
"Great Central Lake","1982",1983-01-18,"FURUNO FM 22         ",6,13867,5,0,95,139,132,6,1
"Great Central Lake","1982",1983-02-05,NA,NA,NA,2,0,35,324,324,0,0
"Great Central Lake","1983",1983-08-30,"SIMRAD               ",6,5051,3,1,40,183,183,0,0
"Great Central Lake","1983",1983-08-31,NA,NA,NA,1,0,15,51,51,0,0
"Great Central Lake","1983",1983-11-01,"SIMRAD               ",6,4749,2,1,35,26,26,0,0
"Great Central Lake","1984",1984-10-15,"FURUNO FM 22         ",6,4797,5,1,75,140,140,0,0
"Great Central Lake","1985",1985-12-10,"SIMRAD               ",6,11210,3,0,45,6,6,0,0
"Great Central Lake","1985",1985-12-11,"FURUNO FM 22         ",6,6017,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1986",1986-10-02,"SIMRAD               ",6,3853,3,0,45,15,14,1,0
"Great Central Lake","1986",1986-10-03,"FURUNO FM 22         ",6,2952,1,0,15,3,3,0,0
"Great Central Lake","1987",1987-09-23,"SIMRAD               ",6,2192,3,0,0,26,26,0,0
"Great Central Lake","1987",1987-09-24,NA,NA,NA,1,0,0,4,4,0,0
"Great Central Lake","1987",1988-01-26,"SIMRAD               ",6,7733,3,0,0,11,11,0,0
"Great Central Lake","1987",1988-01-27,NA,NA,NA,2,0,0,9,9,0,0
"Great Central Lake","1988",1988-10-13,"SIMRAD               ",6,5141,4,0,0,151,151,0,0
"Great Central Lake","1989",1989-06-29,"SIMRAD               ",6,4291,1,0,0,50,50,0,0
"Great Central Lake","1989",1989-06-30,NA,NA,NA,3,1,0,67,66,1,0
"Great Central Lake","1989",1989-10-23,"SIMRAD               ",6,5735,3,0,0,194,194,0,0
"Great Central Lake","1989",1989-10-24,NA,NA,NA,2,1,0,47,47,0,0
"Great Central Lake","1989",1990-03-15,"SIMRAD               ",6,12802,7,1,0,92,92,0,0
"Great Central Lake","1989",1990-03-16,NA,NA,NA,1,0,0,13,13,0,0
"Great Central Lake","1990",1990-06-13,"SIMRAD               ",6,4017,1,0,0,18,18,0,0
"Great Central Lake","1990",1990-06-14,"SIMRAD               ",6,4504,3,2,0,132,130,2,0
"Great Central Lake","1990",1990-10-15,"SIMRAD               ",6,7467,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1990",1990-10-16,"SIMRAD               ",6,6609,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1990",1990-10-17,NA,NA,NA,3,0,0,174,53,121,0
"Great Central Lake","1990",1990-10-18,"SIMRAD               ",6,6847,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1990",1991-03-05,NA,NA,NA,1,0,0,4,4,0,0
"Great Central Lake","1990",1991-03-07,"SIMRAD               ",6,13890,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1991",1991-07-17,NA,NA,NA,2,0,0,28,9,19,0
"Great Central Lake","1991",1991-07-18,"SIMRAD               ",6,3640,8,2,0,232,67,165,0
"Great Central Lake","1991",1991-07-19,NA,NA,NA,4,1,0,178,39,139,0
"Great Central Lake","1991",1991-10-30,"SIMRAD               ",6,3568,5,1,0,18,17,1,0
"Great Central Lake","1991",1991-10-31,NA,NA,NA,3,0,0,9,9,0,0
"Great Central Lake","1991",1992-02-25,"SIMRAD               ",6,3884,4,0,0,22,22,0,0
"Great Central Lake","1991",1992-02-26,NA,NA,NA,2,1,0,11,11,0,0
"Great Central Lake","1992",1992-07-15,"SIMRAD               ",6,6705,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1992",1992-10-27,"SIMRAD               ",6,5516,6,2,0,316,310,6,0
"Great Central Lake","1992",1993-02-11,"SIMRAD               ",6,14006,2,0,0,64,64,0,0
"Great Central Lake","1992",1993-02-12,"BIOSONICS G12        ",6,7538,3,1,0,153,153,0,0
"Great Central Lake","1993",1993-07-28,"SIMRAD               ",6,3231,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1993",1993-10-13,"SIMRAD               ",6,2659,NA,NA,NA,NA,NA,NA,NA
