"survey_date","lake_name","ats_year","count_trawl","count_acoustic"
"1984-09-28","Hesquiat Lake",1984,9,NA
"1984-09-28","Kennedy Lake (Clay)",1984,50,NA
"1984-10-01","Sproat Lake",1984,61,121
"1984-10-02","Sproat Lake",1984,65,NA
"1984-10-15","Great Central Lake",1984,140,78
"1984-10-25","Muchalat Lake",1984,35,45
"1984-10-26","Megin Lake",1984,11,48
"1984-10-26","Muchalat Lake",1984,113,NA
"1984-10-27","Hesquiat Lake",1984,1,48
"1984-10-27","Megin Lake",1984,9,NA
"1984-10-28","Henderson Lake",1984,79,180
"1984-10-28","Hesquiat Lake",1984,2,NA
"1984-10-29","Hobiton Lake",1984,3,99
"1984-10-30","Hobiton Lake",1984,25,NA
"1984-11-03","Glendale Lake",1984,46,24
"1984-11-04","Heydon Lake",1984,3,48
"1984-11-05","Heydon Lake",1984,6,NA
"1984-11-06","Phillips Lake",1984,25,NA
"1984-11-07","Woss Lake",1984,51,55
"1984-11-08","Nimpkish Lake",1984,30,88
"1984-11-09","Nimpkish Lake",1984,8,NA
"1984-11-10","Long Lake",1984,129,NA
"1984-11-11","Long Lake",1984,261,NA
"1984-11-12","Long Lake",1984,135,NA
"1984-11-13","Quatse Lake",1984,73,25
"1984-11-15","Nahwitti Lake",1984,55,40
"1984-11-17","Kennedy Lake (Clay)",1984,136,160
"1984-11-18","Kennedy Lake (Clay)",1984,600,NA
"1984-11-20","Muriel Lake",1984,105,80
"1984-12-17","Hobiton Lake",1984,5,99
"1985-01-23","Kennedy Lake (Clay)",1984,103,480
"1985-01-24","Kennedy Lake (Clay)",1984,649,NA
"1985-02-17","Hobiton Lake",1984,15,99
"1985-03-14","Cheewhat Lake",1984,86,30
"1985-04-02","Kennedy Lake (Clay)",1985,59,160
"1985-04-03","Kennedy Lake (Clay)",1985,45,160
"1985-04-04","Kennedy Lake (Clay)",1985,23,NA
"1985-05-31","Hobiton Lake",1985,12,NA
"1985-06-01","Kennedy Lake (Clay)",1985,34,160
"1985-06-02","Kennedy Lake (Clay)",1985,104,NA
"1985-06-03","Kennedy Lake (Clay)",1985,61,NA
"1985-06-03","Kennedy Lake (Main)",1985,4,150
"1985-06-04","Kennedy Lake (Main)",1985,27,NA
"1985-06-12","Hobiton Lake",1985,81,NA
"1985-06-25","Hobiton Lake",1985,96,NA
"1985-06-26","Hobiton Lake",1985,53,NA
"1985-06-27","Muriel Lake",1985,24,NA
"1985-06-28","Muriel Lake",1985,21,NA
"1985-06-29","Kennedy Lake (Clay)",1985,228,160
"1985-06-30","Kennedy Lake (Clay)",1985,222,160
"1985-07-04","Hobiton Lake",1985,56,NA
"1985-07-10","Hobiton Lake",1985,184,NA
"1985-07-11","Kennedy Lake (Clay)",1985,218,160
"1985-07-12","Kennedy Lake (Clay)",1985,650,160
"1985-07-31","Hobiton Lake",1985,75,99
"1985-08-14","Kennedy Lake (Clay)",1985,3,160
"1985-08-15","Kennedy Lake (Clay)",1985,226,160
"1985-08-16","Kennedy Lake (Clay)",1985,83,160
"1985-08-17","Henderson Lake",1985,16,180
"1985-08-18","Henderson Lake",1985,563,180
"1985-08-19","Hobiton Lake",1985,89,99
"1985-08-21","Cheewhat Lake",1985,161,NA
"1985-08-23","Muchalat Lake",1985,72,NA
"1985-08-24","Power Lake",1985,47,NA
"1985-08-25","Jansen Lake",1985,14,NA
"1985-08-26","Megin Lake",1985,57,NA
"1985-08-26","Nimpkish Lake",1985,19,88
"1985-08-27","Nahwitti Lake",1985,15,40
"1985-08-27","Nimpkish Lake",1985,64,NA
"1985-08-28","Nahwitti Lake",1985,10,NA
"1985-08-30","Awun Lake",1985,56,NA
"1985-08-30","Eden Lake",1985,20,40
"1985-08-31","Eden Lake",1985,57,NA
"1985-09-01","Ian Lake",1985,4,NA
"1985-09-02","Yakoun Lake",1985,485,NA
"1985-09-03","Mathers Lake",1985,28,48
"1985-09-04","Mathers Lake",1985,26,NA
"1985-09-06","Skidegate Lake",1985,377,NA
"1985-09-07","Lowe Lake",1985,27,36
"1985-09-08","Devon Lake",1985,252,70
"1985-09-08","Lowe Lake",1985,30,NA
"1985-09-09","Devon Lake",1985,831,NA
"1985-09-12","Long Lake",1985,154,NA
"1985-09-13","Long Lake",1985,104,NA
"1985-09-14","Quatse Lake",1985,19,25
"1985-09-15","Quatse Lake",1985,54,NA
"1985-09-16","Heydon Lake",1985,7,NA
"1985-09-16","Muriel Lake",1985,1,80
"1985-09-17","Kennedy Lake (Clay)",1985,1,160
"1985-09-17","Muriel Lake",1985,229,NA
"1985-09-18","Kennedy Lake (Clay)",1985,109,160
"1985-09-20","Hobiton Lake",1985,8,99
"1985-09-26","Sproat Lake",1985,4,121
"1985-10-15","Phillips Lake",1985,13,72
"1985-10-16","Glendale Lake",1985,20,24
"1985-10-26","Tahltan Lake",1985,37,NA
"1985-10-30","Kennedy Lake (Clay)",1985,66,160
"1985-10-31","Kennedy Lake (Clay)",1985,223,160
"1985-11-07","Muriel Lake",1985,77,NA
"1985-11-08","Jansen Lake",1985,11,40
"1985-11-09","Jansen Lake",1985,2,NA
"1985-11-09","Woss Lake",1985,88,55
"1985-11-10","Nimpkish Lake",1985,26,88
"1985-11-11","Nimpkish Lake",1985,9,88
"1985-11-28","Hobiton Lake",1985,1,99
"1985-12-10","Great Central Lake",1985,6,78
"1985-12-11","Kennedy Lake (Main)",1985,312,150
"1985-12-12","Kennedy Lake (Main)",1985,64,150
"1986-01-20","Kennedy Lake (Clay)",1985,69,160
"1986-01-20","Muriel Lake",1985,3,NA
"1986-01-21","Kennedy Lake (Clay)",1985,206,160
"1986-01-22","Muriel Lake",1985,46,80
"1986-01-24","Hobiton Lake",1985,10,99
"1986-02-11","Long Lake",1985,78,NA
"1986-02-12","Jansen Lake",1985,24,40
"1986-02-12","Long Lake",1985,191,NA
"1986-02-13","Quatse Lake",1985,47,NA
"1986-03-19","Cheewhat Lake",1985,2,30
"1986-03-20","Cheewhat Lake",1985,145,NA
"1986-04-16","Brannen Lake",1986,394,30
"1986-05-02","Phillips Lake",1986,90,NA
"1986-05-06","Power Lake",1986,19,NA
"1986-05-11","Phillips Lake",1986,110,NA
"1986-05-14","Power Lake",1986,11,NA
"1986-06-06","Hobiton Lake",1986,9,NA
"1986-06-26","Kennedy Lake (Clay)",1986,22,NA
"1986-06-26","Kennedy Lake (Main)",1986,3,150
"1986-06-27","Kennedy Lake (Main)",1986,15,NA
"1986-07-25","Vernon Lake",1986,1,36
"1986-07-26","Muriel Lake",1986,35,NA
"1986-07-26","Vernon Lake",1986,72,NA
"1986-07-26","Woss Lake",1986,176,55
"1986-07-27","Nimpkish Lake",1986,15,88
"1986-07-27","Woss Lake",1986,25,55
"1986-07-28","Nimpkish Lake",1986,101,88
"1986-07-29","Nimpkish Lake",1986,10,NA
"1986-07-30","Long Lake",1986,179,NA
"1986-07-31","Long Lake",1986,204,NA
"1986-08-01","Long Lake",1986,25,NA
"1986-08-02","Quatse Lake",1986,32,NA
"1986-08-03","Cheewhat Lake",1986,199,NA
"1986-08-13","Yakoun Lake",1986,139,120
"1986-08-14","Mercer Lake",1986,3,42
"1986-08-14","Yakoun Lake",1986,7,NA
"1986-08-15","Mercer Lake",1986,260,NA
"1986-08-16","Skidegate Lake",1986,84,NA
"1986-08-22","Muriel Lake",1986,20,NA
"1986-08-22","Phillips Lake",1986,175,72
"1986-08-26","Kennedy Lake (Clay)",1986,51,160
"1986-08-27","Kennedy Lake (Clay)",1986,61,NA
"1986-08-27","Sproat Lake",1986,10,121
"1986-08-28","Sproat Lake",1986,24,121
"1986-08-29","Sproat Lake",1986,85,NA
"1986-08-30","Henderson Lake",1986,1,180
"1986-08-31","Henderson Lake",1986,16,NA
"1986-08-31","Hobiton Lake",1986,12,99
"1986-09-01","Hobiton Lake",1986,154,NA
"1986-09-06","Ian Lake",1986,1,90
"1986-09-07","Devon Lake",1986,224,70
"1986-09-07","Eden Lake",1986,38,40
"1986-09-08","Devon Lake",1986,503,70
"1986-09-12","Heydon Lake",1986,17,NA
"1986-09-16","Hobiton Lake",1986,17,NA
"1986-09-16","Kennedy Lake (Clay)",1986,9,160
"1986-09-17","Kennedy Lake (Clay)",1986,14,160
"1986-09-18","Kennedy Lake (Clay)",1986,6,NA
"1986-09-18","Kennedy Lake (Main)",1986,14,150
"1986-09-19","Kennedy Lake (Main)",1986,9,150
"1986-09-23","Henderson Lake",1986,8,NA
"1986-09-24","Henderson Lake",1986,55,180
"1986-09-25","Nahmint Lake",1986,7,45
"1986-09-27","Cheewhat Lake",1986,132,30
"1986-09-27","Hobiton Lake",1986,16,99
"1986-09-28","Cheewhat Lake",1986,126,NA
"1986-10-02","Great Central Lake",1986,15,78
"1986-10-03","Great Central Lake",1986,3,78
"1986-10-09","Kennedy Lake (Clay)",1986,13,160
